corp_nm,corp_gbn,prdct,addr,lon,lat
(유)오성그룹,중소기업,다인승 자전거,전라북도 완주군 봉동읍 둔산리 868-11번지,127.1156159,35.96124015
(유)온비츠로,중소기업,간판 및 광고물,전라북도 완주군 용진읍 상운리 237-1 A동 1층 우측,127.1552516,35.88548657
(유)와이엔에스,중소기업,자동차부품,전라북도 완주군 봉동읍 장구리 580-9번지,127.1201251,35.96837335
(유)우경에너텍,중소기업,신재생에너지제품 설계 및 제작,전라북도 완주군 이서면 이성리 305번지,127.047306,35.79970705
(유)우진산업사,중소기업,아스콘,전라북도 완주군 소양면 해월리 560-1번지,127.254522,35.85491662
(유)우진엔지니어링,중소기업,철구구조물/ 탱크,전라북도 완주군 봉동읍 구미리 725 번지,127.1301808,35.92804594
(유)원테크,중소기업,금형/PVC압출제품,전라북도 완주군 봉동읍 용암리 774번지,127.1178383,35.94849626
(유)이씨엠알,중소기업,자동차부품,전라북도 완주군 봉동읍 장구리 580-9번지,127.1201251,35.96837335
(유)일호네트웍스,중소기업,여과장치/ 압력여과장치/ 소형정수장치,전라북도 완주군 이서면 갈산리 665-5,127.0572419,35.83674158
(유)전라도푸드 F&C,중소기업,양/ 선지 등,전라북도 완주군 상관면 죽림리 179-1번지,127.2235654,35.7490224
(유)정가네,중소기업,감자탕/ 갈비탕,전라북도 완주군 상관면 죽림리 176-1번지,127.2242371,35.74933867
(유)제이에스테크,중소기업,육상 구조물,전라북도 완주군 봉동읍 용암리 825번지,127.128441,35.9431832
(유)제일금속,중소기업,자동차 부품,전라북도 완주군 봉동읍 장구리 587-5,127.1119393,35.96725562
(유)좋은바이오,중소기업,토양미생물제제,전라북도 완주군 고산면 서봉리 342-1,127.2070786,35.98885668
(유)진명산업,중소기업,주방용 음식점용 목재가구,전라북도 완주군 구이면 계곡리 313-3번지,127.1139822,35.67685493
(유)진명종합건설,중소기업,철구조물,전라북도 완주군 구이면 계곡리 313-3번지,127.1139822,35.67685493
(유)찬드림푸드,중소기업,밥/ 반찬류,전라북도 완주군 용진읍 신지리 806번지,127.1714291,35.92432471
(유)축산냄새연구소,중소기업,보조사료(생균제)/냄새탈출제,전라북도 완주군 이서면 이문리 711번지 전북대학교창업보육3센터 1동 110호,127.0143447,35.82182536
(유)태흥애드,중소기업,간판 및 광고물,전라북도 완주군 소양면 명덕리 551-5,127.2128065,35.87958074
(유)한누리개발,중소기업,보행매트,전라북도 완주군 이서면 은교리 843,127.0080382,35.81195794
(유)한빛레이저,중소기업,자동차/ 태양광 발전시설 부품,전라북도 완주군 봉동읍 장구리 584-5,127.1159638,35.96594302
(유)한풍제약,중소기업,의약품,전라북도 완주군 봉동읍 둔산리 852-1번지,127.1254598,35.97057132
(유)한풍제약,중소기업,의약품,전라북도 완주군 봉동읍 장구리 580-2번지,127.1244525,35.97137916
(유)한흥콘크리트,중소기업,시멘트/ 벽돌/ 블럭,전라북도 완주군 소양면 해월리 506-8번지,127.2525535,35.85906419
(유)현춘식품,중소기업,구이김,전라북도 완주군 용진읍 상삼리 665-1번지,127.1761045,35.8617485
(유)호경,중소기업,레미콘/아스콘,전라북도 완주군 봉동읍 제내리 143번지,127.1290601,35.9803854
(유)홍석,중소기업,금속기둥/ 금속상자 등,전라북도 완주군 용진읍 용흥리 154번지,127.1640582,35.89010495
(유)휴먼에노스,중소기업,기타식품,전라북도 완주군 소양면 대흥리 969-5번지,127.2514612,35.86853801
(재)자동차융합가술원,중소기업,자동차 부품 금형,전라북도 완주군 봉동읍 장구리 580-10번지,127.1192324,35.96850636
(재)자동차융합기술원,중소기업,금형,전라북도 완주군 봉동읍 장구리 580-6번지,127.1197623,35.96864823
(재)전북테크노파크 연구개발지원센터,중소기업,임대/ 연구 및 시험생산,전라북도 완주군 봉동읍 둔산리 864-9번지,127.1192336,35.96483859
(주) 진영,중소기업,섬유밴드/레이스,전라북도 완주군 이서면 용서리 63-14번지,127.0202615,35.82609504
(주)BYC,중소기업,편직원단,전라북도 완주군 이서면 은교리 842번지 (이서농공단지),127.0068,35.81490713
(주)가나엔지니어링,중소기업,증류기/ 열교환기/ 가스발생기,전라북도 완주군 봉동읍 둔산리 868-9번지,127.115599,35.96039002
(주)가온셀,중소기업,휴대폰배터리팩/ 특수배터리/ 연료전지,전라북도 완주군 봉동읍 둔산리 864-2번지,127.1182945,35.96465359
(주)강동,중소기업,레미콘,전라북도 완주군 봉동읍 둔산리 223-7번지,127.1340369,35.96232897
(주)강동콘크리트,중소기업,레미콘,전라북도 완주군 상관면 신리 489-4번지,127.2037835,35.7748958
(주)강동콘크리트,중소기업,레미콘,전라북도 완주군 상관면 신리 531-1번지,127.2038327,35.77428421
(주)건국테크,중소기업,특수차량제작,전라북도 완주군 봉동읍 장구리 675,127.1089722,35.96354434
(주)경인씨엔씨,중소기업,살균제/탈취제,전라북도 완주군 이서면 이문리 711번지 전북대학교창업보육3센터 제1동 105호,127.0143447,35.82182536
(주)고려철강,중소기업,SQ pipe 가공제,전라북도 완주군 봉동읍 용암리 570번지,127.1368788,35.94015732
(주)그린팜푸드 농업회사법인,중소기업,돈가스/ 장조림,전라북도 완주군 봉동읍 율소리 618번지,127.1731429,35.95569862
(주)길승산업,중소기업,썬루프가이드라인/ 상용차 창문,전라북도 완주군 봉동읍 장구리 582-2번지,127.114371,35.9729696
(주)나인텍,중소기업,캠핑카 외,전라북도 완주군 봉동읍 장구리 584-4,127.1153815,35.96575927
(주)남광스틸,중소기업,중장비 자동차 부품,전라북도 완주군 봉동읍 둔산리 868-2번지,127.1164162,35.96114619
(주)남광스틸,중소기업,공기 조화기,전라북도 완주군 봉동읍 둔산리 868-3,127.116519,35.96043591
(주)남광이앤씨,중소기업,기계 카바류,전라북도 완주군 봉동읍 둔산리 868-2번지,127.1164162,35.96114619
(주)남일플랜트,중소기업,금속탱크/ 배관,전라북도 완주군 봉동읍 둔산리 852-7번지,127.1224509,35.96859568
(주)내츄럴엔텍,중소기업,탈취제,전라북도 완주군 구이면 원기리 668-1 7동,127.1208731,35.72530254
(주)농심바이오 완주지점,중소기업,유기질비료,전라북도 완주군 비봉면 백도리 360번지 (360번지),127.1733205,35.99252946
(주)뉴아심,중소기업,가발용 원사,전라북도 완주군 봉동읍 둔산리 852-4번지,127.1212514,35.96779173
(주)뉴텍,중소기업,특장차 부품,전라북도 완주군 봉동읍 장구리 581-5,127.1174076,35.97533891
(주)다산엠티,중소기업,자동차부품/특수부품/산업용부품,전라북도 완주군 봉동읍 장구리 587-6번지,127.1120453,35.96483813
(주)다인스,중소기업,발열부직포제품(발열안대/발열요대/ 발열마스크)/ 이차전지 제조장비/ 탄소소재 응용재품,전라북도 완주군 봉동읍 장구리 581-3번지,127.115423,35.97535165
(주)다한산업,중소기업,플라스틱 성형기 ,전라북도 완주군 봉동읍 장구리 587-1,127.1119932,35.96782235
(주)담수연,중소기업,양파즙,전라북도 완주군 고산면 양야리 643-1번지,127.2030154,35.95149818
(주)대광에프앤에스,중소기업,마늘/ 양파 탈피,전라북도 완주군 화산면 화월리 616-3번지,127.1986746,36.03119223
(주)대덕아이엠티,중소기업,차체 및 특장차 제조,전라북도 완주군 봉동읍 장구리 580-1 대덕아이엠티,127.123936,35.97235339
(주)대동철강,중소기업,자동차/ 특장차/ 농기계 부품 외 기타 금속가공,전라북도 완주군 봉동읍 장구리 580-8번지,127.122826,35.97047663
(주)대보엔지니어링(완주지점),중소기업,수소전기차 조립지그 ,전라북도 완주군 봉동읍 장구리 587-1 5동 1호 ,127.1119932,35.96782235
(주)대원기계,중소기업,농기계부품,전라북도 완주군 봉동읍 둔산리 863-8번지,127.1164825,35.96252358
(주)대유글로벌 전주지점,중소기업,자동차용 휠,전라북도 완주군 봉동읍 둔산리 926-12번지,127.1301378,35.95698035
(주)대유합금,중소기업,알루미늄 휠,전라북도 완주군 봉동읍 용암리 826 주식회사 대유글로벌 전주지점,127.1321974,35.94288198
(주)대진정공,중소기업,특장차/ 소방차 및 구급차,전라북도 완주군 봉동읍 둔산리 926-11번지,127.1292964,35.95832429
(주)대진정공,중소기업,믹서트럭/소방차,전라북도 완주군 봉동읍 장구리 582-3번지,127.1156266,35.97282078
(주)대창금속,중소기업,금속절단가공품,전라북도 완주군 봉동읍 용암리 802-6번지 완주산업단지,127.1286562,35.944431
(주)대한엔바이로테크,중소기업,유동판식 탈수기 고액분리기,전라북도 완주군 봉동읍 장구리 56-9번지,127.1251227,35.97455974
(주)더블유에스,중소기업,살균제,전라북도 완주군 봉동읍 둔산리 926-16번지,127.1265656,35.95783665
(주)데카머티리얼,중소기업,이차전지음극소재,전라북도 완주군 봉동읍 둔산리 864-9 (재)전북테크노파크 이차전지신소재융합동 2호,127.1192336,35.96483859
(주)도경,중소기업,태양광 경관등,전라북도 완주군 봉동읍 제내리 509-1번지 백제예술대 창업보육센터 203,127.1273859,35.99431614
(주)동명기계,중소기업,열교환,전라북도 완주군 봉동읍 둔산리 931-8번지,127.118761,35.95661552
(주)동양 건재부문 전주공장,중소기업,레디믹스콘크리트,전라북도 완주군 봉동읍 은하리 288-1번지,127.1458795,35.95344633
(주)동우,중소기업,환풍기,전라북도 완주군 소양면 화심리 552번지,127.2677575,35.8460572
(주)동원에프앤비 완주공장,중소기업,생수,전라북도 완주군 소양면 신원리 136-4,127.3002776,35.85439037
(주)동일이앤지,중소기업,특장차부품,전라북도 완주군 봉동읍 둔산리 868-13번지,127.1146453,35.95972447
(주)디딤돌,중소기업,살리고,전라북도 완주군 봉동읍 장구리 578-2번지,127.1206927,35.9733331
(주)디에이치,중소기업,버스차체용 부품,전라북도 완주군 봉동읍 용암리 803-1번지,127.1275133,35.94605455
(주)디엘시스템,중소기업,알루미늄 창호,전라북도 완주군 소양면 신교리 108-1번지,127.1996986,35.85472833
(주)디엠,중소기업,자동차 차체용 부품,전라북도 완주군 봉동읍 둔산리 863-15,127.1164899,35.96301294
(주)디유이엔지,중소기업,금속구조재,전라북도 완주군 봉동읍 둔산리 870-10번지,127.1182188,35.95957915
(주)럭키강업,중소기업,철제빔가공,전라북도 완주군 비봉면 봉산리 620번지,127.156953,35.9775905
(주)레나,중소기업,태양광 구조물 등,전라북도 완주군 봉동읍 장구리 583-13번지,127.1180799,35.96740961
(주)레나인터내셔널,중소기업,태양광 구조물,전라북도 완주군 봉동읍 장구리 583-13번지,127.1180799,35.96740961
(주)로드씰,중소기업,아스팔트/ 봉함재/ 교면방수재/ 방수시트,전라북도 완주군 이서면 이성리 414-2번지,127.0441087,35.79601344
(주)로드테크,중소기업,표지병(도로표지판),전라북도 완주군 용진읍 구억리 218번지,127.173382,35.85876832
(주)로드폴,중소기업,볼라드/ 점자블록외,전라북도 완주군 삼례읍 하리 1290-448번지,127.0950472,35.9007066
(주)루비,중소기업,대용량 배터리팩,전라북도 완주군 봉동읍 둔산리 864-10 번지 우석대학교 지역혁신센터 208호,127.1215852,35.96474836
(주)마바산업,중소기업,특장차(버스/트럭),전라북도 완주군 봉동읍 용암리 764-3번지,127.1409803,35.95305114
(주)모듈러스쿨 완주지점,중소기업,모듈러 임시교사,전라북도 완주군 구이면 계곡리 487-2,127.112824,35.66860929
(주)모터에이드,중소기업,컨버터,전라북도 완주군 삼례읍 후정리 420-3번지 우석대학교,127.0653624,35.91047568
(주)모학테프,중소기업,실/ 고무줄/ 보강테프,전라북도 완주군 이서면 은교리 559-9번지,127.0148127,35.81701924
(주)미보기아,중소기업,자동차부품,전라북도 완주군 봉동읍 장구리 581-1,127.1139208,35.97431954
